Référence offre;Intitule;Poste;Secteur activité;Entreprise;Type d'entreprise;Lieu;Groupe de contrat;Type contrat;Date de publication ;Mois;Trimestre
JOB250001557;Marqueur pont;1;"Commerce, Vente, Marketing & Distribution";CONGO SERVICES INTERIM;Entreprise Privée; NKAYI;Emploi Temporaire;CDD;1/7/2025;Juillet;T3
JOB250001558;Agent ORDONNANCIER;1;"Commerce, Vente, Marketing & Distribution";CONGO SERVICES INTERIM;Entreprise Privée; NKAYI;Emploi Temporaire;CDD;1/7/2025;Juillet;T3
JOB250001559;MAGASINIER ;1;"Commerce, Vente, Marketing & Distribution";CONGO SERVICES INTERIM;Entreprise Privée; NKAYI;Emploi Temporaire;CDD;1/7/2025;Juillet;T3
JOB250001560;MAGASINIER ;1;"Commerce, Vente, Marketing & Distribution";CONGO SERVICES INTERIM;Entreprise Privée; NKAYI;Emploi Temporaire;CDD;1/7/2025;Juillet;T3
JOB250001561;MAGASINIER ;1;"Commerce, Vente, Marketing & Distribution";CONGO SERVICES INTERIM;Entreprise Privée; NKAYI;Emploi Temporaire;CDD;1/7/2025;Juillet;T3
JOB250001568;OPERATEUR STEP;1;"Commerce, Vente, Marketing & Distribution";CONGO SERVICES INTERIM;Entreprise Privée; NKAYI;Emploi Temporaire;CDD;2/7/2025;Juillet;T3
JOB250001569;MECANICIEN VL/PL;1;"Commerce, Vente, Marketing & Distribution";CONGO SERVICES INTERIM;Entreprise Privée; NKAYI;Emploi Temporaire;CDD;2/7/2025;Juillet;T3
JOB250001570;MECANICIEN RECOLTE ;1;"Commerce, Vente, Marketing & Distribution";CONGO SERVICES INTERIM;Entreprise Privée; NKAYI;Emploi Temporaire;CDD;2/7/2025;Juillet;T3
NONREF000050;Assistante super U;1;"Transport, Logistique & Supply Chain";CONGO TERMINAL;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;13/1/2025;Janvier;T1
NONREF000077;Chef de département dvptRH;1;"Conseil, Stratégie & Gestion des Ressources Humaines";CONGO TERMINAL;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;6/2/2025;Février;T1
JOB250001648;CONTROLEUR DE GESTION DE PROJET ;1;"Conseil, Stratégie & Gestion des Ressources Humaines";CONGO TERMINAL;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;8/7/2025;Juillet;T3
JOB250001651;Chef de Département Développement RH et Relations Ecoles;1;"Conseil, Stratégie & Gestion des Ressources Humaines";CONGO TERMINAL;Entreprise Privée;POINTE-NOIRE;Emploi Durable;CDI;8/7/2025;Juillet;T3
JOB250002648;Directeur d'Exploitation ;1;"Conseil, Stratégie & Gestion des Ressources Humaines";CONGO TERMINAL;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;14/11/2025;Novembre;T4
JOB250002802;Comptable Général;1;"Finance, Banque, Assurance, Comptabilité & Fiscalité";CONGO TERMINAL;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;11/12/2025;Décembre;T4
JOB250002111;Animateur de Clusters Agricoles;1;Agriculture & Industrie Agroalimentaire;Congolaise Terre des Hommes Association ( CTHA);Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;3/9/2025;Septembre;T3
NONREF000020;Assistant administratif;2;"Industrie, Production & Maintenance";COTEN;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;3/1/2025;Janvier;T1
NONREF000147;Gestionnaire financier et cpt;1;"Industrie, Production & Maintenance";COTEN;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;3/1/2025;Janvier;T1
NONREF000221;Responsable RH;1;"Conseil, Stratégie & Gestion des Ressources Humaines";COTEN;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;3/1/2025;Janvier;T1
JOB250001710;Responsable de Projets Stratégiques & Transformation;1;"Conseil, Stratégie & Gestion des Ressources Humaines";CREDIT DU CONGO;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;18/7/2025;Juillet;T3
JOB250001329;Chauffeur ;1;"Commerce, Vente, Marketing & Distribution";DA RONG;Entreprise Privée;BRAZZAVILLE;Emploi Durable;CDI;5/6/2025;Juin;T2
JOB250001330;Manœuvre;1;"Bâtiment, Travaux Publics & Aménagement du Territoire";DA RONG;Entreprise Privée;BRAZZAVILLE;Emploi Durable;CDI;5/6/2025;Juin;T2
JOB250001331;Manœuvre;1;"Bâtiment, Travaux Publics & Aménagement du Territoire";DA RONG;Entreprise Privée;BRAZZAVILLE;Emploi Durable;CDI;5/6/2025;Juin;T2
NONREF000166;Magasinier;1;"Transport, Logistique & Supply Chain";DARON CONGO;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;13/2/2025;Février;T1
NONREF000031;Assistant resp et logistique;1;"Commerce, Vente, Marketing & Distribution";DARON SAM CONGO;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;5/2/2025;Février;T1
NONREF000230;Sénior manager Expertise-CPT;1;"Pétrole, Gaz & Hydrocarbures";DELOITTE;Entreprise Privée;POINTE-NOIRE;Emploi Durable;CDI;27/1/2025;Janvier;T1
JOB250000977;MANAGER;1;"Finance, Banque, Assurance, Comptabilité & Fiscalité";DELOITTE TOUCHE TOHMATSU;Entreprise Privée;POINTE-NOIRE;Emploi Durable;CDI;24/4/2025;Avril;T2
JOB250001739;RESPONSABLE DES ACHATS ;1;"Conseil, Stratégie & Gestion des Ressources Humaines";DI AFRICA CONGO SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;23/7/2025;Juillet;T3
JOB250001756;RESPONSABLE DE LA BLANCHISSERIE ;1;"Conseil, Stratégie & Gestion des Ressources Humaines";DI AFRICA CONGO SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;24/7/2025;Juillet;T3
JOB250001760;Stage Assistant Fiscaliste ;1;"Conseil, Stratégie & Gestion des Ressources Humaines";DI AFRICA CONGO SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;24/7/2025;Juillet;T3
JOB250001763;Agent Customer Registration (KYC);1;"Conseil, Stratégie & Gestion des Ressources Humaines";DI AFRICA CONGO SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;24/7/2025;Juillet;T3
JOB250001764;ASSISTANT ADMINISTRATIF;1;"Conseil, Stratégie & Gestion des Ressources Humaines";DI AFRICA CONGO SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;24/7/2025;Juillet;T3
JOB250001765;CHARGE DE LA COMMUNICATION INTERNE;1;"Conseil, Stratégie & Gestion des Ressources Humaines";DI AFRICA CONGO SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;24/7/2025;Juillet;T3
JOB250001766;CHARGE DE RECRUTEMENT;1;"Conseil, Stratégie & Gestion des Ressources Humaines";DI AFRICA CONGO SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;24/7/2025;Juillet;T3
JOB250001767;VIDEOGRAPHISTE ;1;"Conseil, Stratégie & Gestion des Ressources Humaines";DI AFRICA CONGO SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;24/7/2025;Juillet;T3
JOB250001770;AGENT CLOSED LOPP FEEDBACK;1;"Conseil, Stratégie & Gestion des Ressources Humaines";DI AFRICA CONGO SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;25/7/2025;Juillet;T3
JOB250001771;AGENT BACK OFFICE TROUBLESHOOTING ;1;"Conseil, Stratégie & Gestion des Ressources Humaines";DI AFRICA CONGO SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;25/7/2025;Juillet;T3
JOB250001773;CONSEILLER DIGITAL-ASSISTED CHANNEL;1;"Conseil, Stratégie & Gestion des Ressources Humaines";DI AFRICA CONGO SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;25/7/2025;Juillet;T3
JOB250001774;COORDINATEUR COMMERCIAL EBU ;1;"Conseil, Stratégie & Gestion des Ressources Humaines";DI AFRICA CONGO SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;25/7/2025;Juillet;T3
JOB250001776;Coordinateur produit et services;1;"Conseil, Stratégie & Gestion des Ressources Humaines";DI AFRICA CONGO SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;25/7/2025;Juillet;T3
JOB250001777;SUPERVISEUR FLEET;1;"Conseil, Stratégie & Gestion des Ressources Humaines";DI AFRICA CONGO SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;25/7/2025;Juillet;T3
JOB250001778;TECHNICIEN INFORMATIQUE;1;"Conseil, Stratégie & Gestion des Ressources Humaines";DI AFRICA CONGO SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;25/7/2025;Juillet;T3
JOB250001779;Coordonnateur Sécurité;1;"Conseil, Stratégie & Gestion des Ressources Humaines";DI AFRICA CONGO SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;25/7/2025;Juillet;T3
JOB250001780;SUPERVISEUR FUEL;1;"Conseil, Stratégie & Gestion des Ressources Humaines";DI AFRICA CONGO SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;25/7/2025;Juillet;T3
JOB250001781;AGENT DE LIAISON ;1;"Conseil, Stratégie & Gestion des Ressources Humaines";DI AFRICA CONGO SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;25/7/2025;Juillet;T3
JOB250001799;conseiller service centre;1;"Conseil, Stratégie & Gestion des Ressources Humaines";DI AFRICA CONGO SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;28/7/2025;Juillet;T3
JOB250001800;PRESALES INGENIEUR;1;"Conseil, Stratégie & Gestion des Ressources Humaines";DI AFRICA CONGO SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;28/7/2025;Juillet;T3
JOB250001804;Coordinateur Marketing EBU;1;"Conseil, Stratégie & Gestion des Ressources Humaines";DI AFRICA CONGO SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;28/7/2025;Juillet;T3
JOB250001809;PRESALES INGENIEUR;1;"Conseil, Stratégie & Gestion des Ressources Humaines";DI AFRICA CONGO SA;Entreprise Privée;BRAZZAVILLE;Emploi Durable;CDI;29/7/2025;Juillet;T3
JOB250002065;Responsable des Opération Groupe;1;"Conseil, Stratégie & Gestion des Ressources Humaines";DI AFRICA CONGO SA;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;29/8/2025;Août;T3
JOB250001637;Responsable de la Blanchisserie;1;Nettoyage & Blanchisserie;DI-Africa (Congo) SA;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;8/7/2025;Juillet;T3
JOB250001641;Responsable de la Sécurité;1;"Sécurité, Sûreté & Défense";DI-Africa (Congo) SA;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;8/7/2025;Juillet;T3
JOB250001643;Superviseurde l'Intendance;1;Hôtellerie - Restauration;DI-Africa (Congo) SA;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;8/7/2025;Juillet;T3
JOB250001646;RESPONSABLE DES ACHATS ;1;Hôtellerie - Restauration;DI-Africa (Congo) SA;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;8/7/2025;Juillet;T3
JOB250001664;Chauffeur ;1;"Transport, Logistique & Supply Chain";DI-Africa (Congo) SA;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;11/7/2025;Juillet;T3
JOB250002210;Tacheron;1;Divers ;DI-Africa (Congo) SA;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;11/9/2025;Septembre;T3
JOB250002364;Chauffeur ;1;"Transport, Logistique & Supply Chain";DI-Africa (Congo) SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;7/10/2025;Octobre;T4
JOB250002367;Agent d'enregistrement client;1;"Informatique, Data, Télécommunications & Digital";DI-Africa (Congo) SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;7/10/2025;Octobre;T4
JOB250002368;Assistant-Administratif;1;"Conseil, Stratégie & Gestion des Ressources Humaines";DI-Africa (Congo) SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;8/10/2025;Octobre;T4
JOB250002369;Agent de support technique niveau 2;1;"Informatique, Data, Télécommunications & Digital";DI-Africa (Congo) SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;8/10/2025;Octobre;T4
JOB250002370;Coordinateur Commercial EBU;1;"Commerce, Vente, Marketing & Distribution";DI-Africa (Congo) SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;8/10/2025;Octobre;T4
JOB250002371;Coordinateur produit et services;1;"Commerce, Vente, Marketing & Distribution";DI-Africa (Congo) SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;8/10/2025;Octobre;T4
JOB250002372;Presales Ingénieur;1;"Informatique, Data, Télécommunications & Digital";DI-Africa (Congo) SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;8/10/2025;Octobre;T4
JOB250002373;Chauffeurde Direction;1;"Transport, Logistique & Supply Chain";DI-Africa (Congo) SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;8/10/2025;Octobre;T4
JOB250002374;Coordinateur Marketing EBU;1;"Communication, Médias & Événementiel";DI-Africa (Congo) SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;8/10/2025;Octobre;T4
JOB250002380;FINANCE;1;"Finance, Banque, Assurance, Comptabilité & Fiscalité";DI-Africa (Congo) SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;8/10/2025;Octobre;T4
JOB250002381;TECHNICIEN INFORMATIQUE;1;"Informatique, Data, Télécommunications & Digital";DI-Africa (Congo) SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;8/10/2025;Octobre;T4
JOB250002382;Conseiller Digital;1;"Communication, Médias & Événementiel";DI-Africa (Congo) SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;8/10/2025;Octobre;T4
JOB250002383;Coordinateur produit et services;1;"Commerce, Vente, Marketing & Distribution";DI-Africa (Congo) SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;8/10/2025;Octobre;T4
JOB250002384;SUPERVISEUR FLEET;1;"Transport, Logistique & Supply Chain";DI-Africa (Congo) SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;8/10/2025;Octobre;T4
JOB250002385;conseiller service centre;1;"Commerce, Vente, Marketing & Distribution";DI-Africa (Congo) SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;8/10/2025;Octobre;T4
JOB250002386;Agent de gestion des retours clients;1;"Communication, Médias & Événementiel";DI-Africa (Congo) SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;8/10/2025;Octobre;T4
JOB250002862;Gestionnaire de point de vente ;1;"Finance, Banque, Assurance, Comptabilité & Fiscalité";DI-Africa (Congo) SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;22/12/2025;Décembre;T4
JOB250002863;CAISSIER;1;"Finance, Banque, Assurance, Comptabilité & Fiscalité";DI-Africa (Congo) SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;22/12/2025;Décembre;T4
JOB250002540;Contremaître de Quart;1;Agriculture & Industrie Agroalimentaire;DISTILLERIE DU CONGO;Entreprise Privée;KAYES;Emploi Durable;CDI;29/10/2025;Octobre;T4
JOB250001512;Chauffeur Poids Lourds;1;"Transport, Logistique & Supply Chain";DISTRICT DE LOANGO;Entreprise Privée;Kouilou;Emploi Durable;CDI;24/6/2025;Juin;T2
JOB250001532;ACHETEUR;1;"Commerce, Vente, Marketing & Distribution";DIXSTONE OPERATIONS CONGO;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;26/6/2025;Juin;T2
JOB250001582;SUPPLY CHAIN MANAGER;1;"Énergie, Environnement & Eau";DIXSTONE OPERATIONS CONGO;Entreprise Privée;POINTE-NOIRE;Emploi Durable;CDI;2/7/2025;Juillet;T3
JOB250001583;Représentant Pays;1;"Énergie, Environnement & Eau";DIXSTONE OPERATIONS CONGO;Entreprise Privée;POINTE-NOIRE;Emploi Durable;CDI;3/7/2025;Juillet;T3
JOB250001823;HR GENERALIST;1;"Énergie, Environnement & Eau";DIXSTONE OPERATIONS CONGO;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;31/7/2025;Juillet;T3
JOB250001825;"HR, Taxes & Compliance Assistant";1;"Énergie, Environnement & Eau";DIXSTONE OPERATIONS CONGO;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;31/7/2025;Juillet;T3
JOB250002359;Responsable de l'entretienou de la maintenance des puits;1;"Énergie, Environnement & Eau";DIXSTONE OPERATIONS CONGO;Entreprise Privée;POINTE-NOIRE;Emploi Durable;CDI;7/10/2025;Octobre;T4
JOB250002361;Superintendant Maintenance;1;"Pétrole, Gaz & Hydrocarbures";DIXSTONE OPERATIONS CONGO;Entreprise Privée;POINTE-NOIRE;Emploi Durable;CDI;7/10/2025;Octobre;T4
JOB250002397;Responsable de l'entretienou de la maintenance des puits;1;"Pétrole, Gaz & Hydrocarbures";DIXSTONE OPERATIONS CONGO;Entreprise Privée;POINTE-NOIRE;Emploi Durable;CDI;9/10/2025;Octobre;T4
JOB250002398;Superintendant Maintenance;1;"Pétrole, Gaz & Hydrocarbures";DIXSTONE OPERATIONS CONGO;Entreprise Privée;POINTE-NOIRE;Emploi Durable;CDI;9/10/2025;Octobre;T4
JOB250002412;RESPONSABLE RESSOURCES HUMAINES ;1;"Conseil, Stratégie & Gestion des Ressources Humaines";DIXSTONE OPERATIONS CONGO;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;11/10/2025;Octobre;T4
JOB250002413;Ingenieur de Forage;1;"Énergie, Environnement & Eau";DIXSTONE OPERATIONS CONGO;Entreprise Privée;POINTE-NOIRE;Emploi Durable;CDI;11/10/2025;Octobre;T4
JOB250002436;SENIOR RH;1;"Conseil, Stratégie & Gestion des Ressources Humaines";DIXSTONE OPERATIONS CONGO;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;16/10/2025;Octobre;T4
JOB250002437;Ingenieur de Forage;1;"Énergie, Environnement & Eau";DIXSTONE OPERATIONS CONGO;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;16/10/2025;Octobre;T4
JOB250002545;Chef comptable;1;"Finance, Banque, Assurance, Comptabilité & Fiscalité";DIXSTONE OPERATIONS CONGO;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;29/10/2025;Octobre;T4
JOB250002546;Comptable Général;1;"Énergie, Environnement & Eau";DIXSTONE OPERATIONS CONGO;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;29/10/2025;Octobre;T4
JOB250002547;Coordinateur Contrat & Achat;1;"Énergie, Environnement & Eau";DIXSTONE OPERATIONS CONGO;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;29/10/2025;Octobre;T4
JOB250002652;Chef foreur;1;"Énergie, Environnement & Eau";DIXSTONE OPERATIONS CONGO;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;17/11/2025;Novembre;T4
JOB250002684;Référent comptable fournisseurs et clients ;1;"Finance, Banque, Assurance, Comptabilité & Fiscalité";DIXSTONE OPERATIONS CONGO;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;19/11/2025;Novembre;T4
JOB250002728;Chef foreur;1;"Énergie, Environnement & Eau";DIXSTONE OPERATIONS CONGO;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;25/11/2025;Novembre;T4
JOB250002761;Référent comptable fournisseurs et clients ;1;"Finance, Banque, Assurance, Comptabilité & Fiscalité";DIXSTONE OPERATIONS CONGO;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;2/12/2025;Décembre;T4
NONREF000090;Commercial;1;"Industrie, Production & Maintenance";DMC IRON;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;21/1/2025;Janvier;T1
NONREF000091;Commercial machine ;1;"Industrie, Production & Maintenance";DMC IRON;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;21/1/2025;Janvier;T1
NONREF000212;Responsable groupe electrogene;1;"Industrie, Production & Maintenance";DMC IRON;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;21/1/2025;Janvier;T1
NONREF000225;Secretaire administrative;1;"Industrie, Production & Maintenance";DMC IRON;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;21/1/2025;Janvier;T1
NONREF000247;Techno-commercial;1;"Industrie, Production & Maintenance";DMC IRON;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;21/1/2025;Janvier;T1
JOB250001647;COMPTABLE ;1;"Finance, Banque, Assurance, Comptabilité & Fiscalité";DRIAN & PARTNERS;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;8/7/2025;Juillet;T3
JOB250000943;Agent de recrutement;1;"Conseil, Stratégie & Gestion des Ressources Humaines";EAD (ECOLE AFRICAINE DE DEVELOPPEMENT );Entreprise Privée;POINTE-NOIRE;Emploi Durable;CDI;18/4/2025;Avril;T2
JOB250001151;RESPONSABLE GESTION DES ARCHIVES (ARCHIVISTE);1;"Finance, Banque, Assurance, Comptabilité & Fiscalité";Ecobank;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;14/5/2025;Mai;T2
JOB250001497;AUDITEUR INTERNE ;1;"Finance, Banque, Assurance, Comptabilité & Fiscalité";Ecobank;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;23/6/2025;Juin;T2
JOB250001879;DIRECTEURAUDIT PEAGE;1;Divers ;EGIS ROAD OPERATION CONGO;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;6/8/2025;Août;T3
JOB250002835;Directeur d’Exploitation;1;Divers ;EGIS ROAD OPERATION CONGO;Entreprise Privée;BRAZZAVILLE;Emploi Durable;CDI;16/12/2025;Décembre;T4
JOB250002212;Responsable Travaux Ligne Aerienne;1;"Énergie, Environnement & Eau";EIFFAGE ENERGIE SYSTEMES-TRANSPORT ET DISTRIBUTION;Entreprise Privée;POINTE-NOIRE;Emploi Durable;CDI;11/9/2025;Septembre;T3
JOB250002213;ResponsableTravaux Génie Civil;1;"Bâtiment, Travaux Publics & Aménagement du Territoire";EIFFAGE ENERGIE SYSTEMES-TRANSPORT ET DISTRIBUTION;Entreprise Privée;POINTE-NOIRE;Emploi Durable;CDI;11/9/2025;Septembre;T3
JOB250002214;Coordinateur Travaux;1;"Bâtiment, Travaux Publics & Aménagement du Territoire";EIFFAGE ENERGIE SYSTEMES-TRANSPORT ET DISTRIBUTION;Entreprise Privée;POINTE-NOIRE;Emploi Durable;CDI;11/9/2025;Septembre;T3
JOB250002252;Responsable de Chantier;1;"Bâtiment, Travaux Publics & Aménagement du Territoire";EIFFAGE ENERGIE SYSTEMES-TRANSPORT ET DISTRIBUTION;Entreprise Privée;POINTE-NOIRE;Emploi Durable;CDI;16/9/2025;Septembre;T3
JOB250002318;Superviseur Travaux Génie Civil;1;"Bâtiment, Travaux Publics & Aménagement du Territoire";EIFFAGE ENERGIE SYSTEMES-TRANSPORT ET DISTRIBUTION;Entreprise Privée;POINTE-NOIRE;Emploi Durable;CDI;29/9/2025;Septembre;T3
NONREF000095;Commis restaurant;2;Hôtellerie - Restauration;ELAIS;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;5/2/2025;Février;T1
JOB250000979;COMPTABLE ;1;"Finance, Banque, Assurance, Comptabilité & Fiscalité";ELSA PREMIUM SERVICES;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;24/4/2025;Avril;T2
JOB250000980;Assistant GUOT;1;"Transport, Logistique & Supply Chain";ELSA PREMIUM SERVICES;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;24/4/2025;Avril;T2
JOB250001202;CHEF DE SERVIES TRANSIT ET LOGISTIQUE ADJOINT;1;"Transport, Logistique & Supply Chain";ELSA PREMIUM SERVICES;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;21/5/2025;Mai;T2
JOB250001718;SECRETAIRE ;1;"Conseil, Stratégie & Gestion des Ressources Humaines";ELSA PREMIUM SERVICES;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;21/7/2025;Juillet;T3
NONREF000008;Agent de recouvrement;1;"Commerce, Vente, Marketing & Distribution";EMPLOI SERVICE;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;21/1/2025;Janvier;T1
NONREF000161;it support;1;"Commerce, Vente, Marketing & Distribution";EMPLOI SERVICE;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;21/1/2025;Janvier;T1
JOB250001119;ADMINISTRATEUR RESEAU INFORMATIQUE ;1;"Informatique, Data, Télécommunications & Digital";EMPLOI SERVICE CONGO sarl;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;12/5/2025;Mai;T2
JOB250001121;COORDINATEUR EBU (GESTIONNAIRE DES COMPTES EBU) ;1;"Commerce, Vente, Marketing & Distribution";EMPLOI SERVICE CONGO sarl;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;12/5/2025;Mai;T2
JOB250001138;ADMINISTRATEUR RESEAU INFORMATIQUE ;1;"Commerce, Vente, Marketing & Distribution";EMPLOI SERVICE CONGO sarl;Entreprise Privée;BRAZZAVILLE;Emploi Durable;CDI;13/5/2025;Mai;T2
JOB250001139;POINTEUR;1;"Conseil, Stratégie & Gestion des Ressources Humaines";EMPLOI SERVICE CONGO sarl;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;13/5/2025;Mai;T2
JOB250001140;Coordinateur EBU(GESTIONNAIRE DES COMPTES EBU);1;"Commerce, Vente, Marketing & Distribution";EMPLOI SERVICE CONGO sarl;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;13/5/2025;Mai;T2
JOB250001169;SUPPORT Infrastructure Informatique;1;"Informatique, Data, Télécommunications & Digital";EMPLOI SERVICE CONGO sarl;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;16/5/2025;Mai;T2
JOB250001178;SUPERVISEUR INSTALLATEUR D'EQUIPEMENT INTERNET;1;"Informatique, Data, Télécommunications & Digital";EMPLOI SERVICE CONGO sarl;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;19/5/2025;Mai;T2
JOB250001186;INSTALLATEURD' EQUIPEMENT INTERNET ;1;"Commerce, Vente, Marketing & Distribution";EMPLOI SERVICE CONGO sarl;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;21/5/2025;Mai;T2
JOB250001208;SUPERVISEUR DE VENTE D'INTERNET RESIDENTIEL ;1;"Commerce, Vente, Marketing & Distribution";EMPLOI SERVICE CONGO sarl;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;22/5/2025;Mai;T2
JOB250001758;Graphiste vidéaste ;1;"Conseil, Stratégie & Gestion des Ressources Humaines";EMPLOI SERVICE CONGO sarl;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;24/7/2025;Juillet;T3
JOB250001759;Support risque et conformité ;1;"Conseil, Stratégie & Gestion des Ressources Humaines";EMPLOI SERVICE CONGO sarl;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;24/7/2025;Juillet;T3
